"","dna_con_ug_ml","sample_id","day","container","treatment_combo","food","ph","temperature","data_inoculated","chitinase","protease","respiration_co2_ppm_hr","ph_final","color","final_volume_ml","richness","shannon.16s","ef.16s"
"exp2_87_DAY15_tube",20.1485,"87","15","tube","temp37_ph3_food6",6,3,37,"3/21/22",NA,46.52037382,21452.21418,NA,NA,NA,30,1.765821064364,6
"exp2_87_DAY57_tube",5.996,"87","57","tube","temp37_ph3_food6",6,3,37,"3/21/22",0.14408019,129.4856603,13157.09653,7.85,"LT",20,29,2.19062477740812,9
"exp2_88_DAY1_tube",0.4235,"88","1","tube","temp37_ph3_food6",6,3,37,"3/21/22",0.004986413,11.75687773,NA,NA,NA,NA,49,2.51237629002024,12
"exp2_88_DAY15_tube",17.9085,"88","15","tube","temp37_ph3_food6",6,3,37,"3/21/22",NA,45.54360665,13981.14354,NA,NA,NA,27,1.35658176070281,4
"exp2_88_DAY57_tube",5.2685,"88","57","tube","temp37_ph3_food6",6,3,37,"3/21/22",0.139076263,200.0375712,15581.56669,7.87,"LT",20,22,1.66889497795634,5
"exp2_89_DAY1_tube",0.421,"89","1","tube","temp37_ph3_food3",3,3,37,"4/11/22",0.00621276,9.698204537,NA,NA,NA,NA,40,2.69188679048855,15
"exp2_89_DAY15_tube",1.686,"89","15","tube","temp37_ph3_food3",3,3,37,"4/11/22",0.014120287,41.81543343,NA,NA,NA,NA,30,1.31000079624439,4
"exp2_89_DAY57_tube",2.3395,"89","57","tube","temp37_ph3_food3",3,3,37,"4/11/22",0.362876032,94.38616419,10207.45069,7.82,"LT",20,26,1.71380686299406,6
"exp2_9_DAY1_tube",2.866,"9","1","tube","temp22_ph5.6_food3",3,5.6,22,"3/14/22",0.009779016,243.4740109,NA,NA,NA,NA,39,2.61481343353377,14
"exp2_9_DAY15_tube",10.7635,"9","15","tube","temp22_ph5.6_food3",3,5.6,22,"3/14/22",0.133454424,779.0840552,8752.600775,NA,NA,NA,44,2.95374819162994,19
"exp2_9_DAY57_tube",3.421,"9","57","tube","temp22_ph5.6_food3",3,5.6,22,"3/14/22",0.066918978,616.1626504,7260.326018,7.87,"LT",20,39,1.98218944782902,7
"exp2_90_DAY1_tube",0.381,"90","1","tube","temp37_ph3_food3",3,3,37,"4/11/22",0.005986264,8.367219493,NA,NA,NA,NA,44,2.7164909639712,15
"exp2_90_DAY15_tube",1.9685,"90","15","tube","temp37_ph3_food3",3,3,37,"4/11/22",0.005353637,66.76827364,NA,NA,NA,NA,27,1.17200375015461,3
"exp2_90_DAY57_tube",3.151,"90","57","tube","temp37_ph3_food3",3,3,37,"4/11/22",0.338284132,136.654194,13300.68159,7.7,"LT",20,24,1.36390582332955,4
"exp2_91_DAY1_tube",0.656,"91","1","tube","temp37_ph3_food6",6,3,37,"4/11/22",0.003768841,4.286491293,NA,NA,NA,NA,41,2.6879570384366,15
"exp2_91_DAY15_tube",2.0495,"91","15","tube","temp37_ph3_food6",6,3,37,"4/11/22",0.001442052,24.06336277,NA,NA,NA,NA,28,0.402670499352815,1
"exp2_91_DAY57_tube",3.971,"91","57","tube","temp37_ph3_food6",6,3,37,"4/11/22",0.053958469,70.81607199,14015.50734,7.78,"LT",20,23,1.6632709505784,5
"exp2_92_DAY1_tube",0.641,"92","1","tube","temp37_ph3_food6",6,3,37,"4/11/22",0.003884718,10.79320953,NA,NA,NA,NA,43,2.68431132675486,15
"exp2_92_DAY15_tube",1.391,"92","15","tube","temp37_ph3_food6",6,3,37,"4/11/22",0.002223825,17.00001249,NA,NA,NA,NA,37,1.23462566018907,3
"exp2_92_DAY57_tube",5.621,"92","57","tube","temp37_ph3_food6",6,3,37,"4/11/22",0.061723526,91.32923516,14176.77743,7.77,"LT",20,20,1.45720350098289,4
"exp2_93_DAY1_tube",0.772,"93","1","tube","temp22_ph3_food6",6,3,22,"4/11/22",0.005419224,28.44135176,NA,NA,NA,NA,39,2.6539276220257,14
"exp2_93_DAY15_tube",31.706,"93","15","tube","temp22_ph3_food6",6,3,22,"4/11/22",0.015624302,1482.05929,NA,NA,NA,NA,27,2.28715657468956,10
"exp2_93_DAY57_tube",4.346,"93","57","tube","temp22_ph3_food6",6,3,22,"4/11/22",0.094298733,899.4944096,24138.52796,8.2,"LT",20,41,2.47403833315571,12
