"","dna_con_ug_ml","sample_id","day","container","treatment_combo","food","ph","temperature","data_inoculated","chitinase","protease","respiration_co2_ppm_hr","ph_final","color","final_volume_ml","scaled_chit","scaled_prot","richness","shannon.16s","ef.16s"
"exp2_3_DAY15_tube",9.5235,"3","15","tube","temp22_ph4_food3",3,4,22,"3/14/22",0.133628817,953.3290944,13629.38148,NA,NA,NA,0.497821172034527,0.897406030242288,45,2.88684786253811,17.9366815129396
"exp2_3_DAY57_tube",1.881,"3","57","tube","temp22_ph4_food3",3,4,22,"3/14/22",0.052805247,395.7921261,2407.860302,7.96,"LT",20,-0.623921435864108,-0.14069203685398,55,2.22238044530061,9.22927452084625
"exp2_30_DAY1_tube",3.036,"30","1","tube","temp37_ph5.6_food6",6,5.6,37,"3/14/22",0.019392183,246.4406715,NA,NA,NA,NA,-1.08765815956048,-0.418774863919272,37,2.39389775639486,10.9561150933191
"exp2_30_DAY15_tube",4.686,"30","15","tube","temp37_ph5.6_food6",6,5.6,37,"3/14/22",0.230006825,147.8963493,5569.733972,NA,NA,NA,1.83544233920143,-0.602258069904793,40,2.23844991179579,9.3787820746107
"exp2_30_DAY57_tube",1.186,"30","57","tube","temp37_ph5.6_food6",6,5.6,37,"3/14/22",0.141667961,275.986397,7771.303597,7.98,"LT",20,0.609395683725024,-0.363762618496286,44,2.1403813400746,8.5026794231393
"exp2_31_DAY1_tube",2.781,"31","1","tube","temp37_ph5.6_food6",6,5.6,37,"3/14/22",0.020536292,252.6473128,NA,NA,NA,NA,-1.07177918003284,-0.40721849599566,35,2.34338604835657,10.4164475110791
"exp2_31_DAY15_tube",6.156,"31","15","tube","temp37_ph5.6_food6",6,5.6,37,"3/14/22",0.219725039,178.6786018,4253.195707,NA,NA,NA,1.69274241340632,-0.544943490535188,35,2.25241502366548,9.51067663306873
"exp2_31_DAY57_tube",5.776,"31","57","tube","temp37_ph5.6_food6",6,5.6,37,"3/14/22",0.144375728,292.307948,7381.470392,8.02,"LT",20,0.646976523276678,-0.333372937616872,41,2.2630737009312,9.61259003205243
"exp2_32_DAY1_tube",1.901,"32","1","tube","temp37_ph5.6_food6",6,5.6,37,"3/14/22",0.023239357,252.5296334,NA,NA,NA,NA,-1.03426359909006,-0.407437607488929,31,2.3630455248623,10.623255625009
"exp2_32_DAY15_tube",3.011,"32","15","tube","temp37_ph5.6_food6",6,5.6,37,"3/14/22",0.204343799,175.4952559,7350.746246,NA,NA,NA,1.47926765263647,-0.550870676378604,34,2.30673892260756,10.041624687214
"exp2_32_DAY57_tube",9.011,"32","57","tube","temp37_ph5.6_food6",6,5.6,37,"3/14/22",0.108078017,284.2159851,2896.430861,7.95,"LT",20,0.143204059403936,-0.348439653409939,40,2.21641411523923,9.17437356430102
