,rowname,ID,BetaNTI,dna_con_ug_ml,sample_id,day,container,treatment_combo,food,ph,temperature,data_inoculated,chitinase,protease,respiration_co2_ppm_hr,ph_final,color,final_volume_ml
149,exp2_MIX_GROUP1,exp2_20_DAY15_tube,-1.207436265,1.5035,20,15,tube,temp37_ph4_food3,3,4,37,3/14/22,0.189451053,309.8836489,15784.10817,NA,NA,NA
153,exp2_MIX_GROUP1,exp2_20_DAY57_tube,-0.45959457,4.851,20,57,tube,temp37_ph4_food3,3,4,37,3/14/22,0.135833287,407.7156544,14032.88437,7.76,LT,20
157,exp2_MIX_GROUP1,exp2_21_DAY1_tube,-1.002891582,5.7135,21,1,tube,temp37_ph4_food6,6,4,37,3/14/22,0.014261276,316.192311,NA,NA,NA,NA
161,exp2_MIX_GROUP1,exp2_21_DAY15_tube,-0.466144053,6.841,21,15,tube,temp37_ph4_food6,6,4,37,3/14/22,0.203934282,136.1051702,8150.830186,NA,NA,NA
165,exp2_MIX_GROUP1,exp2_21_DAY57_tube,-0.98896593,5.891,21,57,tube,temp37_ph4_food6,6,4,37,3/14/22,0.120194452,362.789337,17161.28776,7.86,LT,20
169,exp2_MIX_GROUP1,exp2_22_DAY1_tube,0.318921921,7.836,22,1,tube,temp37_ph4_food6,6,4,37,3/14/22,0.014105411,303.6499606,NA,NA,NA,NA
173,exp2_MIX_GROUP1,exp2_22_DAY15_tube,-0.716537676,2.996,22,15,tube,temp37_ph4_food6,6,4,37,3/14/22,0.219720164,159.9369111,8487.498572,NA,NA,NA
177,exp2_MIX_GROUP1,exp2_22_DAY57_tube,-0.649720203,3.961,22,57,tube,temp37_ph4_food6,6,4,37,3/14/22,0.11387656,345.3342065,17456.8999,7.92,LT,20
181,exp2_MIX_GROUP1,exp2_23_DAY1_tube,-0.701712288,8.511,23,1,tube,temp37_ph4_food6,6,4,37,3/14/22,0.018218421,294.0847102,NA,NA,NA,NA
185,exp2_MIX_GROUP1,exp2_23_DAY15_tube,-0.408940456,4.521,23,15,tube,temp37_ph4_food6,6,4,37,3/14/22,0.219959048,181.1567395,6487.882738,NA,NA,NA
189,exp2_MIX_GROUP1,exp2_23_DAY57_tube,-0.606730609,5.152,23,57,tube,temp37_ph4_food6,6,4,37,3/14/22,0.122156449,345.7470821,17011.51827,7.96,LT,20
